name,prompt
coffee,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A cup of coffee on a saucer, one curl of steam, a spoon resting on the rim. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: burnt umber, cream, chipped teal enamel. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
compass,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A brass nautical compass, hinged lid open, star rose on the dial. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: brass, ivory dial, verdigris, deep blue needle. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
couch,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A mid-century two-seater sofa, tapered walnut legs, buttoned back. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: mustard upholstery, walnut, teal cushion. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
crown,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A five-pointed crown, velvet band, cabochon jewels around the rim. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: gold, black ink, ruby and sapphire Ben-Day. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
crutch,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A single wooden underarm crutch, padded top, rubber tip, one crossbar. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: honey wood and slate on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
cut-of-meat,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A thick bone-in steak, marbled fat, dark seared crust. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: butcher red, cream fat, chipped cream enamel. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
deer,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A young deer in profile, small forked antlers, dappled flank, one ear turned. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: fawn, moss green, cream, ink key line. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
dress-shoe,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A brown leather full-brogue from the side, punched wing detail, waxed laces. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: chestnut leather, cream stitching, honey sole. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
egg,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A single egg standing upright, faintly speckled shell. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: warm cream and pale blue overprint. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
film,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A curling strip of 35mm film, sprocket holes down both edges, three frames visible. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: black, silver grey, magenta and cyan off-register. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
fire,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A single leaping flame, layered heat, a few sparks rising. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: vermilion, marigold, gold, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
football,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A brown leather American football, raised white laces, pebbled grain. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: pebbled tan leather, cream laces, oxblood stitching. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
fountain-pen,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A fountain pen with the cap off, gold nib, a bead of ink at the tip. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: black lacquer, gold nib, cream, ink blue. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
frog,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A round little tree frog sitting front-on, wide toe pads, throat mid-swell. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: emerald, buttercup belly, cream, ink outline. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
gem,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A brilliant-cut gemstone standing on its point, clean facets, light caught inside. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: cobalt and ice blue, black ink facet lines. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
ghost,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A floating ghost with a wavy hem and two round eyes, trailing slightly. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: flat cream white, black ink, cyan Ben-Day. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
gi,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A folded white martial-arts jacket with a black belt laid diagonally across it. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: off-white thread, black belt, red merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
glasses,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A pair of round wire-rimmed spectacles, thin bridge, temples folded. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: tortoiseshell and cream on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
globe,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A desk globe tilted on a turned wooden stand, engraved meridians, brass ring. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: ochre continents, sea-green oceans, walnut, brass. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
goblet,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A heavy pewter goblet, knopped stem, a shallow pour of wine in the bowl. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: pewter grey, oxblood wine, chipped gold. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
golf,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A pin flag standing in the hole on a close-mown green, flag caught by the wind. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: grass green, scarlet flag, cream, gold merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
guitar,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A solid-body electric guitar front-on, two pickups, scratchplate, tremolo arm. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: cherry red, cream scratchplate, chrome, maple neck. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
heart-pink,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A plump rounded heart, softly dimpled at the top. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: fluorescent pink over warm red. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
helmet,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An American football helmet at three-quarters, caged face mask, chin strap loose. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: gold shell, forest green stripe, grey mask. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
house-garden,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A small cottage, flower bed under the window, low picket fence, chimney smoke. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: sage walls, brick-red roof, hollyhock pink, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
inkwell,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A square glass inkwell, hinged brass lid, ink pooled inside, a steel nib on the rim. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: clear glass, brass, deep indigo ink, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
keyboard,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A computer keyboard at a low angle, sculpted keycaps in rows. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: warm beige and slate on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
lantern,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A hand lantern, glass chimney, wire bail handle, flame burning inside, vented cap. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: iron grey, honey amber glass, warm flame. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
laptop,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An open laptop at three-quarters, thin screen, visible key rows, side port. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: graphite grey and fluorescent orange. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
luggage,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A hard-shell suitcase on its edge, brass corners, two leather straps, old hotel labels. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: oxblood shell, brass, tan straps, faded labels. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
medal,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A round sports medal on a striped ribbon, laurel wreath struck into the face. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: gold thread, navy and white ribbon, cream merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
mic,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A vintage broadcast microphone on a round desk stand, chrome grille, ribbon body. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: chrome grille, cream body, chipped teal. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
money-bag,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A cloth money sack cinched with rope, a few coins spilling from the neck. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: hessian tan and black on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
mountain-snow,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A steep mountain peak with a snow cap, striated rock, a cornice on the ridge. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: prussian blue, snow white, slate rock, pale sky. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
mouse,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A boxy beige desktop computer mouse at three-quarters, two buttons, cable trailing. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: warm beige and slate on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
movie-camera,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A hand-cranked movie camera, two film magazines on top, lens turret, side crank. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: black crackle body, brass, cream reels, ink outline. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
musical-notes,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A pair of joined eighth notes, beam between them, slight swing to the stems. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: fluorescent yellow and violet overprint. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
newspaper,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A newspaper rolled into a tube and tied with string, column rules just visible. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: newsprint grey and black on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
oil-drum,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A dented steel drum upright, painted band around the middle, two bung caps on top. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: rust orange, industrial green, bare steel. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
open-book,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An open hardback, pages fanning up both sides, a ribbon marker trailing. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: cream pages, oxblood cloth binding, gold spine. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
